-3.327,-9.4147,-6.2735,-6.0397,5.8682,8.3877,-5.0982,-8.4772,-6.0098,-8.2219,-2.8109,-6.0659
-0.49042,-10.707,-7.6612,-4.5736,-7.9379,-6.6218,-4.1542,-5.6639,-4.3122,-8.6471,-4.0248,-6.0239
-2.1043,-18.582,-7.3972,-6.9912,-7.9146,-7.5868,-5.7985,-6.6154,-10.316,-9.7275,-3.4588,NaN
-2.1436,-15.027,-8.3445,-7.75,-6.6487,-5.4048,-4.5309,-8.1047,-8.0307,-7.1629,-4.4844,-4.9795
1.0923,11.994,-5.9451,-7.5234,-7.0315,-7.9181,-3.4032,-4.9793,-9.0404,-9.6848,-5.2095,-4.4296
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.4158,4.9191,-8.4719,-4.8326,-4.1705,-5.2194,NaN,-6.119,-6.3449,10.658,5.7479,1.1897
0.16468,12.865,-8.1807,-5.2267,-3.0859,-7.1316,-3.7791,-1.8097,-4.7721,11.749,2.8394,2.2467
-4.5843,13.111,-4.6342,-3.4448,-3.8284,NaN,-6.9461,-2.9473,-0.73186,-4.2848,9.346,NaN
3.0175,8.7081,6.9207,-0.18075,-4.1038,-4.1303,-7.169,-3.2926,0.058801,-5.8243,8.5088,-4.0243
8.0095,8.1285,4.6957,0.10824,-3.0639,-5.8612,-4.9257,-3.6402,-2.8916,-6.6448,11.05,-3.876
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.39362,-9.4834,-5.1971,-5.5022,-6.0586,-3.8265,-3.0545,0.061547,-7.2307,-10.622,0.43638,NaN
-4.1039,-11.737,-6.9562,-6.8357,-5.3087,-5.9886,-3.7707,-1.3672,-5.651,-10.744,-5.1563,-6.3671
-1.2305,-14.71,-5.9897,-6.1179,-6.5736,-8.692,NaN,-2.2983,-5.3153,-8.5077,-4.0444,-1.8651
3.0285,-11.125,-5.9301,-2.6936,-6.4666,-6.9517,-9.464,NaN,-6.5981,5.7446,-3.9845,NaN
3.0812,-13.051,-9.4099,-5.3446,-9.3254,-8.0383,-4.704,-4.6396,-7.4256,-11.524,-5.5353,-3.8509
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4244,10.604,-8.6558,-5.7871,-3.4882,-8.9388,-5.1836,-1.2088,-6.3806,-1.963,2.1104,NaN
7.9902,12.756,-6.2018,-1.8727,-6.6644,-8.5707,-1.3578,1.0389,-3.5562,-0.82664,6.5862,-0.32715
6.6071,10.525,-7.0605,11.616,-2.8083,-0.27801,-1.9009,-4.042,-5.7527,NaN,1.0313,0.024392
2.529,10.967,-3.0064,9.4209,-1.856,1.0661,-4.5231,NaN,-6.8881,-8.6959,10.031,NaN
8.3049,13.006,-1.4144,5.1435,-6.3001,-7.2321,-3.7056,-7.6007,-8.8443,-5.4977,2.2072,2.6448
